leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
cec901f6-a72f-4620-b46f-95686381b1a0,RANKED_SOLO_5x5,GOLD,I,w-bhOczHw_wVR181aknWL1ZJ0E9JcJshrYrYy8WJe5IQlIYV,31,184,162,False,False,True,False
a7715e9e-67ea-472e-98df-6f837cd2fe42,RANKED_SOLO_5x5,GOLD,I,Ehx_0ch8ljpGDBDdpdl0zIsjjV4q2Rp2j1uXB5PZ_u3n_-Gl,32,4,2,False,False,False,False
5856fb7c-3a33-4a4a-8ec6-0d64397c00c3,RANKED_SOLO_5x5,GOLD,I,4XeMv5uKvk7v9wozybovRg76KkXf993OcjA9G2HaesRes128,95,6,8,False,False,False,True
2d381809-711b-49aa-acc1-bc8a13f8ba99,RANKED_SOLO_5x5,GOLD,I,EtbshODX3I05n12AqsdG6KemtXk6CBX9coDumhJWQ6dlVFBp,33,2,3,False,False,False,False
428516bf-83eb-4943-b506-9a86fc8c8d7e,RANKED_SOLO_5x5,GOLD,I,_oomliN0Ok6AO0o9JakJ_JYpDoSngSajzdaCglSIhn4NPpFR,50,19,14,False,False,False,False
420500e2-c411-40e7-b7a8-6dd7afe2027b,RANKED_SOLO_5x5,GOLD,I,IID9RP3zqqmhAJRI3Pa0WeD1eczpHgK0ktDpaFQDS4w2B2Gx,10,64,80,False,False,False,False
9828f92f-b03c-4d00-904f-4b2f097e2613,RANKED_SOLO_5x5,GOLD,I,dne7aJmU4Du6ZTPkoIqqH2LE-mFAVZeXNSl-q7Pt0eIYQ15k,75,55,45,False,False,True,False
4c35b495-95ee-45eb-a2fb-4b5b9a58b8a4,RANKED_SOLO_5x5,GOLD,I,lH-X4vbn56obHpArYBED9O0hB4CFCfVp15wllzPwMLDPIyUQ,8,22,10,False,False,False,False
1f1c5d7e-3fed-4f12-bd64-9119c17449f0,RANKED_SOLO_5x5,GOLD,I,MDCAd2JxO0Bhzr2v410trUFHmGpubdnyRHbpI4hQz6Ce_C8j,75,43,42,False,False,False,False
e65279a9-e966-4c9d-b695-e730362ecd32,RANKED_SOLO_5x5,GOLD,I,dSGu_uAr5w0R8d8peDpxgpjVqErellZCNIguxiti9y3w6P1G,7,5,4,False,False,False,False
fd4a9f8f-ae61-432c-91e3-ae2bbec06f08,RANKED_SOLO_5x5,GOLD,I,vgMsZCwh9OP1qk_Thi_130WJt1R8tPkXpqBetoHzSSNUKLQP,57,8,9,False,False,False,False
7644a1ab-35ce-4026-945d-942654b283fc,RANKED_SOLO_5x5,GOLD,I,HuhqVadaX72FhrmSd1KIgAx-LszmExibFQOnT6WNokfc78Zi,1,19,31,False,False,False,False
75d4bbf8-6e39-49a6-b39e-aa2ab364f47a,RANKED_SOLO_5x5,GOLD,I,qVxP4HgAAGQQ09G_1fXjG_s_DXPq8HaBU2FrPg7CyXKOgkbB,75,60,72,False,False,False,False
b85faf87-7494-4618-8a95-c8fd202785d4,RANKED_SOLO_5x5,GOLD,I,k6-LdY-yqP8AIqQIvt47BAeWfDjhXihy5mREaSs3nOU1oJtM,43,13,12,False,False,False,False
6be17080-9c85-4db1-a756-8b205e0ad4d8,RANKED_SOLO_5x5,GOLD,I,qjgnGAqh_gL3GcJrwRiESwbzBA4FQNZPhJeVcAzIBXDnDsOp,20,4,2,False,False,False,False
70800bed-bc8e-4405-8cb9-bb967a3dd860,RANKED_SOLO_5x5,GOLD,I,088Bf4w1pSoCehc50jPjBRvhQuyQkmK1b_gGNhH1nzQJecga,28,46,37,False,False,False,False
cbdfabde-d408-4e05-bd1b-578797044552,RANKED_SOLO_5x5,GOLD,I,EqC00a4M-_oDy8EJEAeNHQv4_8KEQrtuhTgJ1yEmM-xVe6_2,75,6,10,False,False,False,False
f8cc714d-e5a2-4574-88fd-4926c95ba712,RANKED_SOLO_5x5,GOLD,I,9zOxuzH2iGFFBSF1CxrIbUruJKz_JMPdeSOq3bSy_MUb9v5X,63,3,4,False,False,False,False
bf8090e8-2fb6-4d9c-95c7-5884f88eee97,RANKED_SOLO_5x5,GOLD,I,AOcugygR32HB9qtn8IizxeT0WlKBtuynPsZ8eBM--Ma7gFWH,52,12,6,False,False,False,False
a588ddea-40e1-4cf7-b3f7-03d0d5e1ffa5,RANKED_SOLO_5x5,GOLD,I,kSmQS8bogd0cM_zeCcovr4yVFgU73pTwzg2kgtIrEdaUZbG8,75,32,47,False,False,False,False
d3286ede-2bb6-4d36-8c3e-7738514cd70a,RANKED_SOLO_5x5,GOLD,I,1IFp2htLSU89JKliYlA8DAfM9YaVXEEGYPtG1W0GVmj5hQIn,6,70,54,False,False,False,False
8dc436c0-7b65-4b89-887d-dca3ea05e320,RANKED_SOLO_5x5,GOLD,I,YfVli-vO-pdcdLLTyAXz21OxSHGw9fkLsWM01cK75IBToq2x,24,36,39,False,False,False,False
b8584ba2-e887-4c06-97e0-4a652eee3dab,RANKED_SOLO_5x5,GOLD,I,sy0OONCKrj_WkJI2AR5bVt-Iva6n44TJ8oOod1VUM4T7ykta,40,5,3,False,False,False,False
a865d3d4-2ae2-498f-acf9-ff6d0562f347,RANKED_SOLO_5x5,GOLD,I,bUSef5BRD2KaY0kX-lJyVWBLwIf9ck85y_m5y9wYYfs9SmSf,18,92,89,False,False,False,False
a00b34f4-c008-429a-98e0-d57b44ae8a3d,RANKED_SOLO_5x5,GOLD,I,ApXcbbRqQryadcV938JP1w3Ndh2SEtCZ0RLUX6aKnGNS4Pp_,34,26,27,False,False,False,False
b080e28f-ee08-4fb7-8030-51922b3efa27,RANKED_SOLO_5x5,GOLD,I,kNvNa_w5VtWosYgU1jG7XyNRWnkrcpDSBGUzQfa-6uVi1_VT,75,75,86,False,False,True,False
768c771a-ce05-4aec-9c1d-7aa717cc786e,RANKED_SOLO_5x5,GOLD,I,ob-2rkSq1N2-7kd3m_zaOC-GFQxVy6yDpSWtFZIKZi0Fkt79,1,24,27,False,False,False,False
7c751d25-2f89-4b35-98a4-b6119bde583f,RANKED_SOLO_5x5,GOLD,I,3y9DG8utLdI7PeAMy6N0YyqhxVPkL2HegcC0g2KGoEubNFrW,70,87,87,False,False,False,False
f4abccb5-cd99-4665-a77b-c6b64c4ad5af,RANKED_SOLO_5x5,GOLD,I,PK0ysycz88Ik6ko0YmrGs3mDi8BWIeMyPf0AbzrbWJCNWe5c,22,50,50,False,False,False,False
dbe60c36-f2f9-4812-9d87-c09021363fb9,RANKED_SOLO_5x5,GOLD,I,cGJ5iNmkD3HewrqA7CvugdhJEjuIOQ3sekfZx60C7AIr_wWY,7,41,35,False,False,False,True
9c74594f-2756-44e6-9272-66047042df09,RANKED_SOLO_5x5,GOLD,I,l354FB18n9OnaE-i-olxVJYYgIADAk5tDAoVR5HHiREeuNnI,55,1,5,False,False,False,False
8b646449-e750-401b-8bff-c0dbd04fd1af,RANKED_SOLO_5x5,GOLD,I,4lL9fB_x4-sqnlgzxG0ncKxfalH0vdlJglUBlLMaAa-Nc-eY,38,15,8,False,False,False,True
917a86d9-2021-4746-8ed6-4fcc48e6dd9c,RANKED_SOLO_5x5,GOLD,I,LElAhGUr_Twf8YR7IuC0KjAJelOqn7BmDpsP-POZCW9zBBqA,86,19,4,False,False,False,False
3496eb6c-af87-4097-b3a0-bd7af1bc040c,RANKED_SOLO_5x5,GOLD,I,8NGVX4lvu2ztGkuKzulC8I1r75sDPWo-A0GrRkbsd9uoB1NM,92,11,5,False,False,False,True
9c66e6c7-34e3-438b-9964-e94242528173,RANKED_SOLO_5x5,GOLD,I,pf9O67ay8t-CZ_KMefNw9e_u7KXhqtoNIwuEeFuCutUkDlJQ,75,17,28,False,False,False,False
8e831617-78fd-4ef3-a0e9-0e8bcf255226,RANKED_SOLO_5x5,GOLD,I,qycpeoQl_VLbPIcVBG5DMCBmpWXeqwy8suZs6mryl8k5I1hB,97,3,2,False,False,False,False
dfcc5ba3-d5ed-4c4d-a54d-805cdb05f7de,RANKED_SOLO_5x5,GOLD,I,o7bZ1X1A5J3k-S5skefeaMnNhlNFwWpFbKuQYmd1ON5S3R1b,16,7,7,False,False,False,False
92ce42de-72b0-4f14-b5f1-d1a3d2da1ec7,RANKED_SOLO_5x5,GOLD,I,ARddzRzYumi4h0vam1UNdNqvzxA9L5PvD4zoPzw-pXhPBGJs,96,35,39,False,False,True,False
24f9c821-df51-416e-80ca-510254652610,RANKED_SOLO_5x5,GOLD,I,szcyAhQhkykhJARetTMEw_Sjhs6vuIOEJuyoonehlrb-65Sw,8,2,4,False,False,False,False
c296767b-8812-491e-95f7-0b7a220a6c64,RANKED_SOLO_5x5,GOLD,I,TEXTeSUJoX8lTXLYaraWpM-OZkbHyUFDaWkHD46m20It35Vh,15,3,7,False,False,False,False
e64d73f1-428c-4963-a742-5f3da115ea79,RANKED_SOLO_5x5,GOLD,I,PDrhGNrY31lw6QJrCqR5j-DyYq_RNDGyAkWsUOkPWvApJope,0,38,32,False,False,False,False
ecebef8c-7baf-4f83-b290-28a4d05dc5a3,RANKED_SOLO_5x5,GOLD,I,nlOtKszfDjRTLIuzh2zqRpsOxzG8b6zEcsqaFbMDtNN2eQYX,54,2,6,False,False,False,False
d88abe89-b385-4efd-b696-49e8bbe8edde,RANKED_SOLO_5x5,GOLD,I,V3DE5bQBpZNTncPwnQpAYL55YXAvgkmIxmclOlB4DQUs7HY_,59,31,28,False,False,False,False
98104f21-85a4-4436-9363-eb0031e3081c,RANKED_SOLO_5x5,GOLD,I,eXI2S80DmoMVob3rfG6J4rnKxks0hS4PMyYlKxB6ONeU7Wi1,69,70,73,False,False,False,False
a14a22df-e96e-4775-9d9d-06c2465614d3,RANKED_SOLO_5x5,GOLD,I,agd45VXFvOrg3JMwiDPQ_ro34XF86d8LIUComPC1JVK-Ng0f,7,76,84,False,False,False,False
248c4665-5d14-4364-b50a-07ef5d066612,RANKED_SOLO_5x5,GOLD,I,N3pjzbc8bEMt7erNPTc22iXA6YJCxLk8nlzQDAWlBjwbxWiM,2,24,10,False,False,False,True
a26a81d2-246a-4fc5-b81b-16e9425c0882,RANKED_SOLO_5x5,GOLD,I,mP8V8finYlZqLP-75aDAYNO2MwRjvIR14_z7R65sdmaWyR0j,31,1,5,False,False,False,False
9a0bfbc8-1fde-4dac-95b8-6b91425517f4,RANKED_SOLO_5x5,GOLD,I,5HJaRm7bneCuV0Je9bHNh4F6gVpXpTRh2yD9sTrsrStFZH9j,28,9,0,False,False,False,True
