leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,id,accountId,puuid,profileIconId,revisionDate,summonerLevel
f9eb7940-d753-41ea-acb5-83e5ff0c4a84,RANKED_SOLO_5x5,GOLD,I,dQSIJUDIi0ve0SjFZJQ89-lmVr1ZQq7-7CnKGe-m04tItqyL,70,13,9,False,False,False,False,dQSIJUDIi0ve0SjFZJQ89-lmVr1ZQq7-7CnKGe-m04tItqyL,VYDh34UCn6DJqAlncDzAROOT9OU-wrbwiy0G895Gnq3ZYOvvAUfE67DN,rehd4SqWabSyZg_mIn5gon9It04PuxclroOgPfM9kGolCe0kvWFdMoO5AmvGIXAKYsN7er7bzvfJAg,23,1731635292000,125
cae88556-6f2a-42e2-827c-d6b76b85ebfd,RANKED_SOLO_5x5,GOLD,I,TD261Y8PMu-XB1cu3b-7vDj1IydYRSvUCG_dw5OqfJSKIHLh,82,3,3,False,False,True,False,TD261Y8PMu-XB1cu3b-7vDj1IydYRSvUCG_dw5OqfJSKIHLh,NpVM8upTpJUynvEE_QKyu83OhX1wkva_ffGfmThdJe39Q61DO3Q7y4mw,gPIm5Joe3VuzQ7LMM0lJC78yX29JB_1M2wkEst9iJTF28m3ZuMoovk3uUpzjUQDjSP7OYvy3QsUfIw,6576,1733736850381,681
a539f8dd-f902-455d-b9ac-4d2607e6bcbc,RANKED_SOLO_5x5,GOLD,I,nfIgVqEMr-DJsUOMDYxG-2sCPRRFilJqphw1mr0pPVxd7lW0,73,18,19,False,False,False,False,nfIgVqEMr-DJsUOMDYxG-2sCPRRFilJqphw1mr0pPVxd7lW0,GGI67QUQFtdtw6p6Ope5oFD-bxcQPh52JWDu49mLrMeLcjXL3GUkzLO_,82pIJrmG5IsRAct0TyqeGF69M75NsaySMHQl2lzCRLyV2Jr8KflBcI2WJYsGDZ31zkEPwqk2MCJBJQ,5918,1733617993000,625
037e2fc8-cb8b-4f19-848e-81c5b506989d,RANKED_SOLO_5x5,GOLD,I,fNFnpyIwgupCbL7jy4bX4pwhO_oGQxYf586QrLGCiM8KBP_L,11,7,7,False,False,False,False,fNFnpyIwgupCbL7jy4bX4pwhO_oGQxYf586QrLGCiM8KBP_L,VvNjFLMv-ooXv2LOtl_nJBflRUDshF1pfbLI0eijP6h6r1k838xnGM85,q0dH7GKjeFNo91jkxsrxEhP1S--HrAQDQe1F7REFPo3J-L9UBBkNPjuGTTHlu8y5szw4UsTVCyhg_A,5091,1733458365000,138
baf22ba8-cb60-49c9-89f7-4a4773835475,RANKED_SOLO_5x5,GOLD,I,C6gVDeVXVJ8reE8T43BxiQZyDgYBAI9etsa8o8vN54YNsabM,13,24,20,False,False,False,True,C6gVDeVXVJ8reE8T43BxiQZyDgYBAI9etsa8o8vN54YNsabM,ZkCX345Ws_4yqdDOWXSS2G7M_T8BbRzMKUjSG4zWtXwCAJg2H8eGCZT2,pLBTJTqzwuTlLd5fS2cTJgxsoU5tTTcI_uZMhvDYm7tKTjRhLf0rbVtfyPtb5V2FxVZy1ItgRBQuvw,5681,1733735602607,738
65076084-a4ce-4760-b917-6d2150c5ecaf,RANKED_SOLO_5x5,GOLD,I,bQq9RmAdk4bIdTfSAXKPqEUcR2x1ordKceCkQIAx1fF8KC5G,36,2,3,False,False,False,False,bQq9RmAdk4bIdTfSAXKPqEUcR2x1ordKceCkQIAx1fF8KC5G,BREFO4q72CoryLn1KRPhoIIo_On4XgksUGCeqPBbOMdy2OcmKxdzNGe1,XqX-FKLodqwrNkXr_EJJLh4kELdwcCGEnu8pKMpD7yTaxjKCgqjc8O0IMOlzrD-SwmOnOz-U-78kmA,4653,1732443410000,260
fc2b60b4-7168-48da-9b34-fa0ca64a438c,RANKED_SOLO_5x5,GOLD,I,haMPwUgCKBG15Kp_n8M25N8LZuu4XAoSn3HMj9JHQpWViwX6,45,4,5,False,False,False,False,haMPwUgCKBG15Kp_n8M25N8LZuu4XAoSn3HMj9JHQpWViwX6,ADv3cXlC5cRG0iAnYqJmlYZLXelx9rsDJayb8AJvwSjuepQFS5oIaEqX,H3F9llU3JldofQonPcqMQgeB3F9i-JKztT-cFRzkVs2uQQ3kQg7ew9BVL9pUeS997O9zJ1_tEwbHiw,4404,1728111485000,548
6aded7ce-25e1-433c-947f-bfeec3ba867d,RANKED_SOLO_5x5,GOLD,I,PVg8IjEMCSl0vl6x8O5od5B272b5kHU4iszN2DEwLOg8dItd,52,31,30,False,False,False,False,PVg8IjEMCSl0vl6x8O5od5B272b5kHU4iszN2DEwLOg8dItd,kA-ogFWIFxGlYNtgsEHHE9Qy0LcvdvXBSM52ZXR_Vc4GCBcwQ7wjEHr3,mhj9_1jdQahS1bwL4pBrqeOxqKO7QM5So4cJu0b4e9c9t1DbCeiMZg639y4JEKJ6z45x5JqcFaHyKw,6468,1733758722899,588
2e2ef87c-a31e-4723-a317-6ffb8ce36418,RANKED_SOLO_5x5,GOLD,I,x80K_K2AAxDtWOQOPorsbp-75tgV9dTnWeNZ8Vo4LZn8dchv,29,33,33,False,False,False,False,x80K_K2AAxDtWOQOPorsbp-75tgV9dTnWeNZ8Vo4LZn8dchv,46lVZxVkfBOG_-1DtS1ydVnb87-CkIxMkM1AT8BLjo8XrwvQkC2D985t,NmzZnsHbwH2eVeK5H1v6w-xjvsGeITNNguQDT6DCUBofXZyHA_EmveU2ZNqwf1fnMsELfiKD5FlduA,1113,1733613438000,752
48a58086-7a95-4eb5-a3c4-5dc76b1099a5,RANKED_SOLO_5x5,GOLD,I,6pa-S_CkmnYdqIkeS9s8hLUlXqYxosbDhEBqvDz4ZVRjZ8R8,75,104,111,False,False,False,True,6pa-S_CkmnYdqIkeS9s8hLUlXqYxosbDhEBqvDz4ZVRjZ8R8,k231U2hsjYD0lPFGUKT4cRXYW64SlxwkMQW5fGmicbRYlZQonJBw5ZRm,-DR7Y6eHmP7EnCqO2OON015cZuT7weDV6F0Mu8OMDZmKje6EPLX3FyZW5r4dvvQnv7AjT92IfnHM0g,15,1733699496141,276
c76851ab-4d53-49dc-9fb4-7e1a7ad4bbea,RANKED_SOLO_5x5,GOLD,I,hC0bOLNwgalnHmNOY3V_3iNKnvAzt0ynggWznSM6t-7BvOA9,4,118,103,False,False,True,False,hC0bOLNwgalnHmNOY3V_3iNKnvAzt0ynggWznSM6t-7BvOA9,LHqVkMIWe7I13EbR840fMCmiaWED6hJp2aAgeDLIP6Jsr57LHj8LNFh9,A2ZoeGxQrvNATjwuBGy0gseMppGQ64uSsjo2HtnFUwve2YcK93_eFBvUKfYvO94Ziit2H9juHd11gQ,6483,1733715831202,288
904e0630-50e4-4963-b942-bcd7e935bc8d,RANKED_SOLO_5x5,GOLD,I,CRqlcsbJRvHDmeGjwU0g7nMeBv-lPM4Je0JKmjtcIJHCZAnP,54,55,65,False,False,False,False,CRqlcsbJRvHDmeGjwU0g7nMeBv-lPM4Je0JKmjtcIJHCZAnP,pZHn_MYQt2oLZb2oT1zYxPYP6xf5zHh6lb8TcWtSc75iVrSJnM9SmtNU,qQjBvy9vkJn0xxRa6Ytc8GnojJSz910IaClj7ln5cI8SoBm8t7XkuqlPK85UkUOQRZTUjeGAzgPqXw,4658,1733240893000,487
05b4aaf2-0d10-4089-831f-e083d02721dc,RANKED_SOLO_5x5,GOLD,I,glJq9Ike074tcycBaLSMNgKXZ-M2YdGYbLTQ7sSFLX_9HxJW,71,81,77,False,False,False,False,glJq9Ike074tcycBaLSMNgKXZ-M2YdGYbLTQ7sSFLX_9HxJW,y2aukkmDCWF23hEH8uuN6JEm3k_guQUz3NhCWek4Nlw1nD7muNy9YtTN,BhNq2-IjicKXkCvNLSV-9Jhvxiu4Q_weTzUFwvuGR3G_5fVi9UED0gGNJldlTbBWYcPKG6g2KV1k_g,4067,1733731273482,416
0315c44e-75b5-452b-9009-89fdcce7aec1,RANKED_SOLO_5x5,GOLD,I,-1aX_vaI9OdkunUQd-AjFT2buGFisJI45X8rwNCvwUv5vBYg,12,9,10,False,False,False,False,-1aX_vaI9OdkunUQd-AjFT2buGFisJI45X8rwNCvwUv5vBYg,-InxhyvyRpcbtyPr2lTYtOEhqVN1i-ZiVT8eznNNSKR1oaMkdvYTWeYq,0gB1wmaeWumYULx0FLqzKlNP5VOOJHv2VjffI3FP3iOmGeoR6gOjJKQ9VcnTr18aXzyqGp5Yslo6CQ,4072,1733547350000,517
169de6f1-a707-4c62-8aba-2ddd11ffbb81,RANKED_SOLO_5x5,GOLD,I,xHysNXvOLVqMpAwuI2RnddKn8LbgGF5l5tklsdIlwzCKmuar,22,76,78,False,False,False,False,xHysNXvOLVqMpAwuI2RnddKn8LbgGF5l5tklsdIlwzCKmuar,d7oDbGCum-Ca9NQ4BTaqCD-J3KRoKXPYavlxJ_HbhTwe0T6XpY5ebXgk,CtlwO3dg3x0yNhjzVKOnyk6Ux8h7c_A1Pg07B25n98JyG8pAaxxjSC32xcj-H_fn1kgYpTsK8iYkyA,6759,1733531350000,296
0c8c612e-da57-46e0-a095-da9efc06e460,RANKED_SOLO_5x5,GOLD,I,LFz2RRjuT6Gw8ZgsziT_TcP2qohYPyb_9I56Zxi1hRt2TiCe,46,99,92,False,False,False,False,LFz2RRjuT6Gw8ZgsziT_TcP2qohYPyb_9I56Zxi1hRt2TiCe,lkWfqgyIqVlBm4-3s7DDTB-TBuWMq_4VsYry0zyHd3Ez8rz5V0BD3lI6,KbbGameS3gh1tF3x35XKfi0hxPfgAVE88bYVIbba2s4U2GhXTLgjnqYs-EGxL2JUrg3taXk_XpmlVw,3540,1732407359000,320
427e80eb-8075-4b28-8d77-d5062eebf1ff,RANKED_SOLO_5x5,GOLD,I,N1fHksjLDoZ4lKH7tYv8ix71gVfqcQS9OC91QUfupMzyJp2-,37,52,41,False,False,False,False,N1fHksjLDoZ4lKH7tYv8ix71gVfqcQS9OC91QUfupMzyJp2-,qydQeNJroHvrSNIt0uX6RTfKtKeAXhGQ0tCG7vDj8k7zw3PInl2WzCfX,yIozAwDimKXcA9AXO5_aU1N-l4dnfbHSaA9i_p7sFUAAjWrZknRxCqYlk13wLtMNkcThRAa3vkktxg,1636,1732491630000,196
94928df3-9ac9-4d3d-8953-e3ed7f13a826,RANKED_SOLO_5x5,GOLD,I,hwT5yYKfgKeAWFSEVuj2CIs0sFcYCDTmLwU7OAuDLPM7U0aK,24,2,3,False,False,False,False,hwT5yYKfgKeAWFSEVuj2CIs0sFcYCDTmLwU7OAuDLPM7U0aK,j-U1Onz9MAIm81v3ULDIadBhMab2WVXurFbB6z0UKTIjhPFJc5BRfpmD,M0lQVqDSZ_xMn8ej0_TAwfd7RpODrIy7rVSkJHy9-Avi0mQ5nC908ZPBurqrEnO3PWsverIXGjEvmQ,1211,1733725483692,498
c5b97bbe-7293-4e6c-8985-fa25ca332dca,RANKED_SOLO_5x5,GOLD,I,QA5AHe6aSQFAtAvC_t0MXQAXGlPSwKfamKUpp7Nhg94EkqgU,98,59,70,False,False,True,False,QA5AHe6aSQFAtAvC_t0MXQAXGlPSwKfamKUpp7Nhg94EkqgU,qC8IunBYpAyvOE1yDi7c8AGrjj-MFz6iMJLi4WEhtkXPnfOCWqUyCC8c,85DrExxRG20FYILnK7YpOeaZ4D_WNWcAhSxJSckld54JoP1SwmlxrrGX7I-OSqPRhrJAJNibcVg7dg,6680,1733704055511,264
c8a24662-acc3-4596-8a56-74d878141d89,RANKED_SOLO_5x5,GOLD,I,eUKCe2ku_bhwv-SgoNhIOBXP5_VmyS7Mi68oyjdTqMErpv_u,68,41,36,False,False,False,False,eUKCe2ku_bhwv-SgoNhIOBXP5_VmyS7Mi68oyjdTqMErpv_u,Tq6ntk3kobp9JLu225l4DSLiGGenhuDtvt6Bqiu4MfTJYDnfIWwneED4,a2aNoRgx8oGMBwfiVQ49YCq0JMrBTV2iaMLQosV-qRS8z6l6p9cst2oQZF_NKcs4KZEKjbumB0WimA,1637,1733726660736,388
87d160df-d66b-4d66-b7c9-4a80b455479a,RANKED_SOLO_5x5,GOLD,I,FdLmNbADfcDVfxaIOLSmdjOmkfnHaU9d6ttUSbt1tN1jNo_S,56,44,45,False,False,True,False,FdLmNbADfcDVfxaIOLSmdjOmkfnHaU9d6ttUSbt1tN1jNo_S,B5STQYPrvl7R_mLCC6q_FrprYoDOOriqQpT8CHr9TRVO7VTZn36A0Ooo,erWCKoF6gexjzFRyfguVbt_IrAD7P5pZ0kaBTqAI0bkz7DgPpfosyM6W6HtFen7J9Wuws7ZkHcg46w,4832,1733718513871,318
f7cdde7e-b192-429b-a847-63d83d91b7b7,RANKED_SOLO_5x5,GOLD,I,eNsFE1NZbQnO3I72cc2DphBmvR5zBDn1KXlQ7uuREyUOcsxR,58,8,6,False,False,False,False,eNsFE1NZbQnO3I72cc2DphBmvR5zBDn1KXlQ7uuREyUOcsxR,9dqKg8qbOPSJLzxV3wIVF7b8kA9B20_J1u9Ue7LYYMZRE6Mx0NX1ePa8,GT-a7gTgPr4cxhagLXl-EU9hSeKSdCk9CKiSleUP6PNbegQHNXGOYyM3mgz1Xj1vw8VTZ9mn1OSZIg,6420,1733608464000,373
