match_id,blue_team_champs,red_team_champs,blue_win
NA1_5177265194,"Chogath,Gwen,Hwei,Corki,Leblanc","Garen,MasterYi,Ahri,Aphelios,Nautilus",False
NA1_5147339152,"Darius,Evelynn,Fizz,Ashe,Thresh","Pantheon,Lillia,Sylas,Kaisa,Lulu",True
NA1_5038601904,"Fiora,Udyr,Sylas,Caitlyn,Thresh","Sett,Sejuani,Hwei,Jinx,Leona",False
NA1_5155026886,"KSante,Nunu,Talon,MissFortune,Milio","DrMundo,Vi,Galio,Sivir,Thresh",True
NA1_5158341483,"Gragas,Graves,Diana,MissFortune,Alistar","Mordekaiser,Zac,Ezreal,Xayah,Janna",False
NA1_5156442286,"Yasuo,Volibear,Galio,Swain,Lux","KSante,Hecarim,Smolder,Seraphine,Leblanc",False
NA1_5171492869,"Sylas,Nidalee,Akshan,Caitlyn,TwistedFate","Pantheon,Vi,Hwei,Jhin,Sona",True
NA1_5138444516,"Elise,Diana,Yasuo,Sivir,Xerath","Fiora,Gwen,Syndra,Draven,Ezreal",True
NA1_5123817169,"Nasus,FiddleSticks,Aurora,Caitlyn,Lulu","Gragas,Warwick,Akshan,Ashe,Senna",True
NA1_5154948871,"Riven,Teemo,Naafiri,Jhin,Taric","Gragas,LeeSin,Syndra,Sivir,Velkoz",False
NA1_4862509362,"Kennen,Graves,Yone,Seraphine,Lulu","Illaoi,Brand,TwistedFate,Vayne,Zyra",False
NA1_5169506825,"Maokai,LeeSin,Annie,Syndra,Blitzcrank","Darius,Lillia,Akshan,Caitlyn,Taric",True
NA1_5029001331,"Garen,Ekko,Lux,Kaisa,Milio","Sion,LeeSin,Malzahar,Ashe,Taric",False
NA1_5173158942,"Teemo,Amumu,Zed,Ezreal,Lux","Darius,Vi,Malphite,Xayah,Rakan",False
NA1_5169106444,"Renekton,Briar,Neeko,Xayah,Renata","Aatrox,Amumu,Akshan,Jinx,Morgana",True
NA1_5127286696,"Zac,Warwick,Qiyana,Ashe,Milio","Garen,Ivern,Taliyah,Yasuo,Senna",False
NA1_5092556201,"Rumble,Khazix,Naafiri,Caitlyn,Thresh","Tryndamere,Shaco,Fizz,Jhin,Seraphine",False
NA1_5156418094,"Yorick,Sejuani,Viego,Ezreal,Lux","Illaoi,MonkeyKing,Ahri,Karthus,Rell",False
NA1_5169020198,"Teemo,Riven,TwistedFate,Twitch,Poppy","Yone,Khazix,Syndra,KogMaw,Zilean",False
NA1_4935347022,"Darius,Ekko,Kled,Jhin,Zyra","Garen,Nunu,AurelionSol,Sivir,Soraka",True
NA1_5174683983,"DrMundo,Warwick,Syndra,Sivir,Yuumi","Ambessa,Maokai,Sylas,Samira,Thresh",True
NA1_5170896684,"Kled,Warwick,Viktor,Jinx,Alistar","MonkeyKing,Ekko,Yone,Swain,Shen",False
NA1_5156482951,"Nasus,Rammus,Ahri,Samira,Morgana","Mordekaiser,Graves,Yone,Caitlyn,Sylas",True
NA1_5177228318,"Aatrox,Warwick,Ahri,Jhin,Kaisa","Sett,Jax,Diana,Lucian,Thresh",False
NA1_5149262293,"Ornn,Graves,Akali,Ahri,Camille","Chogath,Singed,Katarina,Jhin,Karma",True
NA1_5165279114,"Ornn,Vi,Viktor,Smolder,TahmKench","Volibear,Udyr,Leblanc,Lucian,Pantheon",False
NA1_5131742117,"Aurora,Kayn,Sylas,Jhin,Zyra","Vayne,Hecarim,Fizz,Brand,Nautilus",True
NA1_5141407425,"Naafiri,Karthus,Sylas,MissFortune,Poppy","Jax,Shaco,Lux,Ashe,Lulu",True
NA1_5170460647,"Sion,Briar,Pantheon,Caitlyn,Swain","Volibear,FiddleSticks,Yasuo,Kaisa,Pyke",False
NA1_5124800430,"Teemo,Volibear,Ekko,Draven,Senna","Ryze,MonkeyKing,Veigar,Twitch,Milio",False
NA1_5153973027,"Akshan,Sejuani,Syndra,Caitlyn,Senna","Teemo,Graves,Orianna,Vayne,TahmKench",True
NA1_5006856623,"Volibear,Gragas,Irelia,Samira,Nautilus","Kayle,Khazix,Velkoz,Jinx,Milio",True
NA1_5156263243,"Pantheon,Udyr,Ahri,Aphelios,TahmKench","Darius,Amumu,Malzahar,Jhin,Renata",False
NA1_5128833447,"Riven,JarvanIV,Xerath,Caitlyn,Lux","Aatrox,XinZhao,Ryze,MissFortune,Nautilus",False
NA1_5118398782,"Yorick,Pantheon,Akali,Varus,Teemo","Trundle,JarvanIV,Veigar,Twitch,Blitzcrank",True
NA1_4969684694,"Aatrox,Khazix,Fizz,Jinx,Lulu","Malzahar,Udyr,Jayce,Twitch,Karma",False
NA1_5140638455,"Ornn,Graves,Ashe,Seraphine,Thresh","Gangplank,Lillia,Cassiopeia,Veigar,Nami",True
NA1_5137652597,"Illaoi,Taliyah,Aurora,Vayne,Rell","Kennen,Warwick,Akali,Xayah,Blitzcrank",False
NA1_5121235328,"Ornn,Nasus,Akali,Kalista,Renata","Yorick,Amumu,Ahri,Caitlyn,Pyke",False
NA1_5171107336,"Mordekaiser,Karthus,Sylas,MissFortune,Yuumi","Malphite,Warwick,Swain,Smolder,Velkoz",True
NA1_5117194872,"Teemo,Poppy,Yone,Twitch,Senna","Caitlyn,Khazix,Nasus,Swain,Sona",True
NA1_5138531145,"Ornn,XinZhao,Katarina,Ashe,Rakan","Camille,Warwick,Aurora,Caitlyn,Senna",True
NA1_5169778990,"Gragas,Shyvana,Ryze,Leona,Samira","Chogath,Teemo,Draven,Caitlyn,Galio",False
NA1_5124042726,"Teemo,Skarner,Zoe,Samira,Lux","KSante,Viego,Diana,Caitlyn,Zilean",True
NA1_4946245728,"Garen,Viego,Fizz,Caitlyn,Lux","Darius,Kayn,Malzahar,Kaisa,Braum",True
NA1_5168344035,"Kayle,Warwick,Galio,Caitlyn,Maokai","Volibear,Briar,Xerath,Samira,Thresh",False
NA1_5166814544,"Pantheon,Nocturne,Lux,Jinx,Neeko","Sion,Warwick,Taliyah,Ashe,Nunu",True
NA1_5166322767,"Ambessa,Nasus,Malzahar,Kaisa,Azir","Ornn,Karthus,Garen,Caitlyn,Senna",True
NA1_5168636212,"DrMundo,Zac,Veigar,Kalista,Swain","Kayle,Volibear,Katarina,Tristana,Thresh",False
